Country,Happiness score,Year,latitude,longitude,GDP,Healthy life expectancy,Corruption
Italy,0.49,2019,41.87194,12.56738,1.294,1.039,0.03
Bahrain,0.48,2019,25.930414,50.637772,1.362,0.871,0.11
Slovakia,0.48,2019,48.669026,19.699024,1.246,0.881,0.014
Trinidad and Tobago,0.48,2019,10.691803,-61.222503,1.231,0.713,0.016
Poland,0.48,2019,51.919438,19.145136,1.206,0.884,0.05
Uzbekistan,0.48,2019,41.377491,64.585262,0.745,0.756,0.24
Lithuania,0.47,2019,55.169438,23.881275,1.238,0.818,0.042
Colombia,0.46,2019,4.570868,-74.297333,0.985,0.841,0.034
Slovenia,0.46,2019,46.151241,14.995463,1.258,0.953,0.057
Nicaragua,0.46,2019,12.865416,-85.207229,0.694,0.835,0.127
Kosovo,0.46,2019,42.602636,20.902977,0.882,0.758,0.006
Argentina,0.45,2019,-38.416097,-63.616672,1.092,0.881,0.05
Romania,0.45,2019,45.943161,24.96676,1.162,0.825,0.005
Cyprus,0.44,2019,35.126413,33.429859,1.263,1.042,0.041
Ecuador,0.44,2019,-1.831239,-78.183406,0.912,0.868,0.087
Kuwait,0.44,2019,29.31166,47.481766,1.5,0.808,0.097
Thailand,0.43,2019,15.870032,100.992541,1.05,0.828,0.028
Latvia,0.42,2019,56.879635,24.603189,1.187,0.812,0.064
South Korea,0.41,2019,35.907757,127.766922,1.301,1.036,0.056
Estonia,0.41,2019,58.595272,25.013607,1.237,0.874,0.161
Jamaica,0.41,2019,18.109581,-77.297508,0.831,0.831,0.028
Mauritius,0.41,2019,-20.348404,57.552152,1.12,0.798,0.06
Japan,0.41,2019,36.204824,138.252924,1.327,1.088,0.14
Honduras,0.4,2019,15.199999,-86.241905,0.642,0.828,0.078
Kazakhstan,0.39,2019,48.019573,66.923684,1.173,0.729,0.096
Bolivia,0.38,2019,-16.290154,-63.588653,0.776,0.706,0.064
Hungary,0.38,2019,47.162494,19.503304,1.201,0.828,0.02
Paraguay,0.37,2019,-23.442503,-58.443832,0.855,0.777,0.08
Peru,0.36,2019,-9.189967,-75.015152,0.96,0.854,0.027
Portugal,0.36,2019,39.399872,-8.224454,1.221,0.999,0.025
Pakistan,0.35,2019,30.375321,69.345116,0.677,0.535,0.098
Russia,0.35,2019,61.52401,105.318756,1.183,0.726,0.031
Philippines,0.35,2019,12.879721,121.774017,0.807,0.657,0.107
Serbia,0.34,2019,44.016521,21.005859,1.004,0.854,0.039
